label,predicted,confidence,doubt,doubt_or_error,is_doubt,is_error
9,-1,0.999919056892395,True,1,1,0
9,-1,0.9999990463256836,True,1,1,0
7,-1,0.9969465136528016,True,1,1,0
8,-1,0.9999992847442628,True,1,1,0
4,4,1.0,False,0,0,0
8,8,1.0,False,0,0,0
1,-1,0.9999948740005492,True,1,1,0
6,6,1.0,False,0,0,0
4,-1,0.7380105257034302,True,1,1,0
4,4,1.0,False,0,0,0
4,4,1.0,False,0,0,0
0,-1,0.9999839067459106,True,1,1,0
3,-1,0.9999972581863404,True,1,1,0
2,2,1.0,False,0,0,0
3,3,1.0,False,0,0,0
8,8,1.0,False,0,0,0
0,-1,0.9999990463256836,True,1,1,0
1,1,1.0,False,0,0,0
2,2,1.0,False,0,0,0
7,7,1.0,False,0,0,0
3,-1,0.998210072517395,True,1,1,0
2,2,1.0,False,0,0,0
4,-1,0.999963641166687,True,1,1,0
8,8,1.0,False,0,0,0
2,2,1.0,False,0,0,0
8,-1,0.9999369382858276,True,1,1,0
9,-1,0.9999359846115112,True,1,1,0
9,-1,0.9999949932098388,True,1,1,0
7,-1,0.9999997615814208,True,1,1,0
2,-1,0.9999996423721312,True,1,1,0
5,5,1.0,False,0,0,0
1,-1,0.9999969005584716,True,1,1,0
8,8,1.0,False,0,0,0
8,8,1.0,False,0,0,0
2,2,1.0,False,0,0,0
6,-1,0.9999657869338988,True,1,1,0
5,-1,0.9999998807907104,True,1,1,0
6,-1,0.9999881982803344,True,1,1,0
6,6,1.0,False,0,0,0
5,5,1.0,False,0,0,0
2,2,1.0,False,0,0,0
2,-1,0.9999996423721312,True,1,1,0
6,6,1.0,False,0,0,0
7,-1,0.9999997615814208,True,1,1,0
3,3,1.0,False,0,0,0
0,-1,0.9983078241348268,True,1,1,0
0,-1,0.9999997615814208,True,1,1,0
5,5,1.0,False,0,0,0
6,6,1.0,False,0,0,0
3,-1,0.9997703433036804,True,1,1,0
8,-1,0.9999997615814208,True,1,1,0
5,-1,0.9999998807907104,True,1,1,0
1,-1,0.9999984502792358,True,1,1,0
4,4,1.0,False,0,0,0
4,4,1.0,False,0,0,0
9,-1,0.9985785484313964,True,1,1,0
5,5,1.0,False,0,0,0
2,-1,0.9999303817749025,True,1,1,0
3,-1,0.9999998807907104,True,1,1,0
0,0,1.0,False,0,0,0
4,-1,0.7688779234886169,True,1,1,0
8,8,1.0,False,0,0,0
1,-1,0.9999984502792358,True,1,1,0
5,5,1.0,False,0,0,0
1,1,1.0,False,0,0,0
5,5,1.0,False,0,0,0
6,-1,0.9999998807907104,True,1,1,0
5,-1,0.9999955892562866,True,1,1,0
3,3,1.0,False,0,0,0
8,-1,0.9999887943267822,True,1,1,0
4,4,1.0,False,0,0,0
1,-1,0.9999960660934448,True,1,1,0
1,1,1.0,False,0,0,0
6,-1,0.9999852180480956,True,1,1,0
7,7,1.0,False,0,0,0
9,-1,0.9999929666519164,True,1,1,0
3,-1,0.9328601956367492,True,1,1,0
1,-1,0.999583065509796,True,1,1,0
6,6,1.0,False,0,0,0
1,-1,0.9999982118606568,True,1,1,0
2,2,1.0,False,0,0,0
8,-1,0.7590808868408203,True,1,1,0
3,3,1.0,False,0,0,0
6,-1,0.9999762773513794,True,1,1,0
1,1,1.0,False,0,0,0
1,1,1.0,False,0,0,0
7,-1,0.9999772310256958,True,1,1,0
2,-1,0.9999995231628418,True,1,1,0
6,-1,0.9993937015533448,True,1,1,0
7,-1,0.9999992847442628,True,1,1,0
7,7,1.0,False,0,0,0
6,6,1.0,False,0,0,0
5,5,1.0,False,0,0,0
6,6,1.0,False,0,0,0
7,-1,0.9999393224716188,True,1,1,0
4,-1,0.9999951124191284,True,1,1,0
3,3,1.0,False,0,0,0
5,-1,0.998967170715332,True,1,1,0
8,8,1.0,False,0,0,0
1,-1,0.9999369382858276,True,1,1,0
8,8,1.0,False,0,0,0
5,5,1.0,False,0,0,0
9,-1,0.9999986886978148,True,1,1,0
7,-1,0.9999959468841552,True,1,1,0
4,-1,0.9999958276748656,True,1,1,0
5,-1,0.9999998807907104,True,1,1,0
2,-1,0.9999997615814208,True,1,1,0
4,-1,0.9999560117721558,True,1,1,0
1,1,1.0,False,0,0,0
1,-1,0.9999998807907104,True,1,1,0
7,-1,0.9999988079071044,True,1,1,0
3,3,1.0,False,0,0,0
0,-1,0.9999916553497314,True,1,1,0
6,6,1.0,False,0,0,0
3,-1,0.8442903757095337,True,1,1,0
9,-1,0.9986973404884338,True,1,1,0
6,6,1.0,False,0,0,0
9,9,1.0,False,0,0,0
4,4,1.0,False,0,0,0
7,-1,0.9999997615814208,True,1,1,0
8,8,1.0,False,0,0,0
2,-1,0.9999988079071044,True,1,1,0
8,-1,0.9999995231628418,True,1,1,0
4,4,1.0,False,0,0,0
9,-1,0.9999992847442628,True,1,1,0
9,-1,0.9997005462646484,True,1,1,0
2,2,1.0,False,0,0,0
8,8,1.0,False,0,0,0
0,0,1.0,False,0,0,0
4,-1,0.8439313769340515,True,1,1,0
5,-1,0.9950271248817444,True,1,1,0
4,-1,0.6234571933746338,True,1,1,0
3,3,1.0,False,0,0,0
3,3,1.0,False,0,0,0
6,-1,0.9998971223831176,True,1,1,0
4,-1,0.9952279329299928,True,1,1,0
4,-1,0.9997759461402892,True,1,1,0
5,-1,0.9999998807907104,True,1,1,0
0,-1,0.9999998807907104,True,1,1,0
2,2,1.0,False,0,0,0
9,-1,0.999985694885254,True,1,1,0
8,8,1.0,False,0,0,0
4,-1,0.99993896484375,True,1,1,0
9,9,1.0,False,0,0,0
8,8,1.0,False,0,0,0
5,-1,0.9999876022338868,True,1,1,0
6,-1,0.9999960660934448,True,1,1,0
3,-1,0.9999983310699464,True,1,1,0
2,2,1.0,False,0,0,0
2,2,1.0,False,0,0,0
2,2,1.0,False,0,0,0
2,-1,0.9999997615814208,True,1,1,0
4,-1,0.9999942779541016,True,1,1,0
2,2,1.0,False,0,0,0
1,-1,0.9999996423721312,True,1,1,0
3,-1,0.9999996423721312,True,1,1,0
6,-1,0.9999966621398926,True,1,1,0
8,-1,0.9995009899139404,True,1,1,0
1,1,1.0,False,0,0,0
2,2,1.0,False,0,0,0
0,0,1.0,False,0,0,0
1,-1,0.9998167157173156,True,1,1,0
6,-1,0.9999936819076538,True,1,1,0
2,2,1.0,False,0,0,0
8,-1,0.9999997615814208,True,1,1,0
5,5,1.0,False,0,0,0
1,1,1.0,False,0,0,0
8,8,1.0,False,0,0,0
8,8,1.0,False,0,0,0
5,5,1.0,False,0,0,0
7,-1,0.9999998807907104,True,1,1,0
3,3,1.0,False,0,0,0
4,-1,0.9999723434448242,True,1,1,0
0,-1,0.9999998807907104,True,1,1,0
2,2,1.0,False,0,0,0
0,-1,0.9999998807907104,True,1,1,0
5,5,1.0,False,0,0,0
7,-1,0.9999992847442628,True,1,1,0
9,-1,0.9999983310699464,True,1,1,0
3,3,1.0,False,0,0,0
1,1,1.0,False,0,0,0
3,3,1.0,False,0,0,0
9,9,1.0,False,0,0,0
0,0,1.0,False,0,0,0
2,2,1.0,False,0,0,0
0,-1,0.9999974966049194,True,1,1,0
0,0,1.0,False,0,0,0
5,-1,0.999415397644043,True,1,1,0
2,2,1.0,False,0,0,0
8,8,1.0,False,0,0,0
8,-1,0.9999998807907104,True,1,1,0
0,0,1.0,False,0,0,0
8,8,1.0,False,0,0,0
2,2,1.0,False,0,0,0
6,-1,0.9992517828941344,True,1,1,0
9,9,1.0,False,0,0,0
4,4,1.0,False,0,0,0
7,7,1.0,False,0,0,0
3,3,1.0,False,0,0,0
7,-1,0.9999998807907104,True,1,1,0
8,8,1.0,False,0,0,0
6,-1,0.9999997615814208,True,1,1,0
9,9,1.0,False,0,0,0
2,-1,0.9999997615814208,True,1,1,0
0,0,1.0,False,0,0,0
3,3,1.0,False,0,0,0
5,5,1.0,False,0,0,0
7,-1,0.9999998807907104,True,1,1,0
0,-1,0.9999792575836182,True,1,1,0
2,-1,0.9999746084213256,True,1,1,0
4,4,1.0,False,0,0,0
2,2,1.0,False,0,0,0
8,-1,0.9999934434890748,True,1,1,0
2,2,1.0,False,0,0,0
7,-1,0.9999375343322754,True,1,1,0
1,-1,0.9998955726623536,True,1,1,0
6,-1,0.9999969005584716,True,1,1,0
3,3,1.0,False,0,0,0
8,8,1.0,False,0,0,0
3,3,1.0,False,0,0,0
3,-1,0.9999997615814208,True,1,1,0
7,-1,0.9999560117721558,True,1,1,0
5,-1,0.9999997615814208,True,1,1,0
5,-1,0.999996304512024,True,1,1,0
7,-1,0.9999974966049194,True,1,1,0
9,9,1.0,False,0,0,0
6,-1,0.99998939037323,True,1,1,0
5,-1,0.9999991655349731,True,1,1,0
4,4,1.0,False,0,0,0
0,0,1.0,False,0,0,0
1,-1,0.9706299304962158,True,1,1,0
7,7,1.0,False,0,0,0
1,1,1.0,False,0,0,0
3,3,1.0,False,0,0,0
2,2,1.0,False,0,0,0
8,-1,0.9999998807907104,True,1,1,0
9,-1,0.9999964237213136,True,1,1,0
3,-1,0.9999991655349731,True,1,1,0
9,-1,0.9962431192398072,True,1,1,0
8,8,1.0,False,0,0,0
6,6,1.0,False,0,0,0
2,-1,0.9999873638153076,True,1,1,0
9,-1,0.9999734163284302,True,1,1,0
3,3,1.0,False,0,0,0
8,8,1.0,False,0,0,0
0,-1,0.9999994039535522,True,1,1,0
1,-1,0.9999980926513672,True,1,1,0
9,-1,0.9999662637710572,True,1,1,0
7,7,1.0,False,0,0,0
2,2,1.0,False,0,0,0
9,-1,0.9999977350234984,True,1,1,0
6,-1,0.999996781349182,True,1,1,0
1,-1,0.9999996423721312,True,1,1,0
5,5,1.0,False,0,0,0
1,-1,0.9999991655349731,True,1,1,0
8,8,1.0,False,0,0,0
2,-1,0.9999991655349731,True,1,1,0
9,-1,0.9999924898147584,True,1,1,0
2,-1,0.9999998807907104,True,1,1,0
5,-1,0.9999998807907104,True,1,1,0
4,4,1.0,False,0,0,0
9,-1,0.9999244213104248,True,1,1,0
5,-1,0.9999998807907104,True,1,1,0
3,-1,0.9999505281448364,True,1,1,0
6,6,1.0,False,0,0,0
7,-1,0.9999998807907104,True,1,1,0
8,-1,0.9992653727531432,True,1,1,0
4,4,1.0,False,0,0,0
1,1,1.0,False,0,0,0
0,0,1.0,False,0,0,0
5,5,1.0,False,0,0,0
2,2,1.0,False,0,0,0
2,2,1.0,False,0,0,0
2,2,1.0,False,0,0,0
3,-1,0.9999381303787231,True,1,1,0
5,-1,0.9998528957366944,True,1,1,0
3,3,1.0,False,0,0,0
7,-1,0.9999994039535522,True,1,1,0
7,-1,0.99993896484375,True,1,1,0
